Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1975,Kentucky,5117840,2637621,19403,9.0,2149826,3806,9.0,
1975,Louisiana,7169600,2880956,24886,7.0,2301801,1148,6.0,
1975,Maine,2203710,818650,26919,6.0,671674,2809,6.0,
1975,Maryland,9929935,3164433,31380,2.0,2584197,8426,2.0,
1975,Massachusetts,13837425,4490970,30812,3.0,3702942,7369,3.0,
1975,Michigan,19008215,6866658,27682,5.0,5543408,4290,5.0,
1975,Minnesota,8120865,2989816,27162,6.0,2422644,3521,5.0,
1975,Mississippi,3422640,1773141,19303,9.0,1413275,4218,9.0,
1975,Missouri,8534950,3725569,22909,7.0,3065633,7841,8.0,
1975,Montana,1693065,570001,29703,3.0,461153,6714,3.0,
1975,Nebraska,2996575,1186695,25251,6.0,971284,852,7.0,
1975,Nevada,3026630,474197,63826,1.0,393728,6871,1.0,
1975,New Hampshire,3436580,629925,54555,1.0,519685,6128,1.0,
1975,New Jersey,15928430,5677669,28055,5.0,4731588,3664,5.0,
1975,New Mexico,2393275,851679,28101,5.0,672703,5577,4.0,
1975,New York,40633210,14057301,28905,4.0,11747036,4590,5.0,
1975,North Carolina,8504525,4245572,20032,8.0,3453838,4623,8.0,
1975,North Dakota,1338965,489447,27357,5.0,392158,4144,5.0,
1975,Ohio,18170380,8234249,22067,8.0,6723132,7027,8.0,
1975,Oklahoma,4211250,2147012,19614,9.0,1769917,3793,9.0,
1975,Oregon,4929720,1806108,27295,5.0,1499112,2884,6.0,
1975,Pennsylvania,21832355,9333264,23392,7.0,7746095,8185,7.0,
1975,Rhode Island,2267830,739037,30686,3.0,611886,7063,3.0,
1975,South Carolina,5029035,2180948,23059,7.0,1744496,8828,7.0,
1975,South Dakota,1188865,520647,22834,8.0,418340,8419,7.0,
1975,Tennessee,6187965,3281589,18857,0.0,2701748,2904,0.0,
1975,Texas,23721045,9446197,25112,6.0,7666858,940,6.0,
1975,Utah,1401280,879779,15928,0.0,688646,348,0.0,
1975,Vermont,1340190,363841,36834,1.0,295579,5341,1.0,
1975,Virginia,9040860,3876227,23324,7.0,3157303,8635,7.0,
1975,Washington,8004065,2786358,28726,4.0,2293990,4891,4.0,
1975,West Virginia,2574155,1422260,18099,0.0,1179078,1832,0.0,
1975,Wisconsin,12130650,3480565,34853,2.0,2822670,2976,2.0,
1975,Wyoming,962080,287084,33512,2.0,232781,1330,2.0,
1975,Northeast Region,107983155,38502023,28046,,32009221,3735,,
1975,Midwest Region,113098650,44221957,25575,,36070395,1355,,
1975,South Region,126701435,53068339,23875,,43354939,9224,,
1975,West Region,93340865,29632604,31499,,24313495,8391,,
1975,United States,441124105,165424923,26666,,135748050,2496,,
1976,Alabama,5291860,2848965,18575,0.0,2316970,2840,9.0,
1976,Alaska,1169755,290814,40223,1.0,229508,968,1.0,
1976,Arizona,5376125,1784788,30122,3.0,1454915,6951,3.0,
1976,Arkansas,2700815,1665635,16215,0.0,1375640,9633,0.0,
1976,California,56781330,17165930,33078,2.0,14216231,9941,2.0,
1976,Colorado,6572825,2031722,32351,2.0,1652697,9770,2.0,
1976,Connecticut,6502570,2416098,26914,6.0,2007058,2399,6.0,
1976,Delaware,1312930,456312,28773,4.0,368069,5671,4.0,
1976,District of Columbia,3237835,567970,57007,1.0,474972,8169,1.0,
1976,Florida,21163780,6946697,30466,3.0,5871186,6047,4.0,
1976,Georgia,8970680,3881232,23113,7.0,3155571,8428,7.0,
1976,Hawaii,2137315,693101,30837,3.0,563054,7959,3.0,
1976,Idaho,1621550,639506,25356,6.0,516255,1410,6.0,
1976,Illinois,25504485,8783163,29038,4.0,7231424,5269,4.0,
1976,Indiana,8067235,4115024,19604,9.0,3358304,4022,9.0,
1976,Iowa,4850890,2252309,21537,8.0,1849121,6233,8.0,
1976,Kansas,3504340,1803923,19426,9.0,1481658,3651,9.0,
1976,Kentucky,5027315,2703813,18593,0.0,2207814,2771,0.0,
1976,Louisiana,7538460,2951411,25542,6.0,2366407,1856,6.0,
1976,Maine,2266425,838506,27029,6.0,688939,2897,5.0,
1976,Maryland,9987510,3209769,31116,2.0,2627564,8011,3.0,
1976,Massachusetts,13670995,4526770,30200,3.0,3735267,6600,3.0,
1976,Michigan,19393800,6938396,27951,5.0,5619192,4514,5.0,
