Year,State,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1970,Washington,Wine,6148000,983680,2520000,3903,2,2057000,4782,1,N/A,N/A,N/A
1970,Washington,Beer,66838000,3007710,2520000,11935,5,2057000,4622,5,N/A,N/A,N/A
1970,Washington,All beverages,N/A,6702190,2520000,26596,5,2057000,2582,5,N/A,N/A,N/A
1970,West Virginia,Spirits,1996000,898200,1306000,6877,9,1069000,8402,9,N/A,N/A,N/A
1970,West Virginia,Wine,722000,115520,1306000,885,0,1069000,1081,0,N/A,N/A,N/A
1970,West Virginia,Beer,25117000,1130265,1306000,8654,9,1069000,0573,9,N/A,N/A,N/A
1970,West Virginia,All beverages,N/A,2143985,1306000,16416,9,1069000,0056,9,N/A,N/A,N/A
1970,Wisconsin,Spirits,8867000,3990150,3192000,12500,4,2592000,5394,4,N/A,N/A,N/A
1970,Wisconsin,Wine,4332000,693120,3192000,2171,5,2592000,2674,5,N/A,N/A,N/A
1970,Wisconsin,Beer,121486000,5466870,3192000,17127,1,2592000,1091,1,N/A,N/A,N/A
1970,Wisconsin,All beverages,N/A,10150140,3192000,31799,2,2592000,9159,2,N/A,N/A,N/A
1970,Wyoming,Spirits,616000,277200,241000,11502,4,195000,4215,4,N/A,N/A,N/A
1970,Wyoming,Wine,236000,37760,241000,1567,7,195000,1936,7,N/A,N/A,N/A
1970,Wyoming,Beer,6867000,309015,241000,12822,3,195000,5847,3,N/A,N/A,N/A
1970,Wyoming,All beverages,N/A,623975,241000,25891,5,195000,1999,5,N/A,N/A,N/A
1970,Northeast Region,Spirits,103997000,46798650,36624000,12778,N/A,30593000,5297,N/A,N/A,N/A,N/A
1970,Northeast Region,Wine,73912000,11825920,36624000,3229,N/A,30593000,3866,N/A,N/A,N/A,N/A
1970,Northeast Region,Beer,971941000,43737345,36624000,11942,N/A,30593000,4297,N/A,N/A,N/A,N/A
1970,Northeast Region,All beverages,N/A,102361915,36624000,27949,N/A,30593000,3459,N/A,N/A,N/A,N/A
1970,Midwest Region,Spirits,93171000,41926950,41237000,10167,N/A,33726000,2432,N/A,N/A,N/A,N/A
1970,Midwest Region,Wine,49829000,7972640,41237000,1933,N/A,33726000,2364,N/A,N/A,N/A,N/A
1970,Midwest Region,Beer,1121080000,50448600,41237000,12234,N/A,33726000,4958,N/A,N/A,N/A,N/A
1970,Midwest Region,All beverages,N/A,100348190,41237000,24335,N/A,33726000,9754,N/A,N/A,N/A,N/A
1970,South Region,Spirits,101110000,45499500,45958000,9900,N/A,37437000,2154,N/A,N/A,N/A,N/A
1970,South Region,Wine,51900000,8304000,45958000,1807,N/A,37437000,2218,N/A,N/A,N/A,N/A
1970,South Region,Beer,1023368000,46051560,45958000,10020,N/A,37437000,2301,N/A,N/A,N/A,N/A
1970,South Region,All beverages,N/A,99855060,45958000,21727,N/A,37437000,6673,N/A,N/A,N/A,N/A
1970,West Region,Spirits,71592000,32216400,25577000,12596,N/A,20966000,5366,N/A,N/A,N/A,N/A
1970,West Region,Wine,80160000,12825600,25577000,5015,N/A,20966000,6117,N/A,N/A,N/A,N/A
1970,West Region,Beer,653223000,29395035,25577000,11493,N/A,20966000,4020,N/A,N/A,N/A,N/A
1970,West Region,All beverages,N/A,74437035,25577000,29103,N/A,20966000,5504,N/A,N/A,N/A,N/A
1970,United States,Spirits,369870000,166441500,149396000,11141,N/A,122722000,3562,N/A,N/A,N/A,N/A
1970,United States,Wine,255801000,40928160,149396000,2740,N/A,122722000,3335,N/A,N/A,N/A,N/A
1970,United States,Beer,3769612000,169632540,149396000,11355,N/A,122722000,3823,N/A,N/A,N/A,N/A
1970,United States,All beverages,N/A,377002200,149396000,25235,N/A,122722000,0720,N/A,N/A,N/A,N/A
1971,Alabama,Spirits,4332000,1949400,2560385,7614,9,2068321,9425,9,N/A,N/A,N/A
1971,Alabama,Wine,1504000,240640,2560385,940,0,2068321,1163,0,N/A,N/A,N/A
1971,Alabama,Beer,37598000,1691910,2560385,6608,0,2068321,8180,0,N/A,N/A,N/A
1971,Alabama,All beverages,N/A,3881950,2560385,15162,0,2068321,8769,0,N/A,N/A,N/A
1971,Alaska,Spirits,1029000,463050,215277,21509,1,170598,7143,1,N/A,N/A,N/A
1971,Alaska,Wine,582000,93120,215277,4326,2,170598,5458,2,N/A,N/A,N/A
1971,Alaska,Beer,6336000,285120,215277,13244,3,170598,6713,2,N/A,N/A,N/A
1971,Alaska,All beverages,N/A,841290,215277,39079,1,170598,9314,1,N/A,N/A,N/A
1971,Arizona,Spirits,3274000,1473300,1376038,10707,5,1114048,3225,5,N/A,N/A,N/A
1971,Arizona,Wine,2999000,479840,1376038,3487,4,1114048,4307,4,N/A,N/A,N/A
1971,Arizona,Beer,41837000,1882665,1376038,13682,2,1114048,6899,2,N/A,N/A,N/A
1971,Arizona,All beverages,N/A,3835805,1376038,27876,4,1114048,4431,4,N/A,N/A,N/A
1971,Arkansas,Spirits,1815000,816750,1467988,5564,0,1206524,6769,0,N/A,N/A,N/A
1971,Arkansas,Wine,1258000,201280,1467988,1371,8,1206524,1668,8,N/A,N/A,N/A
1971,Arkansas,Beer,25020000,1125900,1467988,7670,0,1206524,9332,0,N/A,N/A,N/A
1971,Arkansas,All beverages,N/A,2143930,1467988,14605,0,1206524,7769,0,N/A,N/A,N/A
1971,California,Spirits,46657000,20995650,15231436,13784,3,12563372,6712,3,N/A,N/A,N/A
1971,California,Wine,64162000,10265920,15231436,6740,1,12563372,8171,1,N/A,N/A,N/A
1971,California,Beer,380397000,17117865,15231436,11239,7,12563372,3625,7,N/A,N/A,N/A
1971,California,All beverages,N/A,48379435,15231436,31763,2,12563372,8508,2,N/A,N/A,N/A
1971,Colorado,Spirits,4993000,2246850,1693618,13267,3,1367905,6425,3,N/A,N/A,N/A
1971,Colorado,Wine,3983000,637280,1693618,3763,3,1367905,4659,3,N/A,N/A,N/A
1971,Colorado,Beer,45359000,2041155,1693618,12052,5,1367905,4922,5,N/A,N/A,N/A
1971,Colorado,All beverages,N/A,4925285,1693618,29081,3,1367905,6006,2,N/A,N/A,N/A
1971,Connecticut,Spirits,7318000,3293100,2279133,14449,2,1894979,7378,2,N/A,N/A,N/A
1971,Connecticut,Wine,5240000,838400,2279133,3679,4,1894979,4424,4,N/A,N/A,N/A
1971,Connecticut,Beer,50381000,2267145,2279133,9947,8,1894979,1964,8,N/A,N/A,N/A
1971,Connecticut,All beverages,N/A,6398645,2279133,28075,4,1894979,3766,4,N/A,N/A,N/A
1971,Delaware,Spirits,1579000,710550,410808,17296,2,333058,1334,2,N/A,N/A,N/A
1971,Delaware,Wine,604000,96640,410808,2352,6,333058,2902,6,N/A,N/A,N/A
1971,Delaware,Beer,10948000,492660,410808,11992,5,333058,4792,5,N/A,N/A,N/A
1971,Delaware,All beverages,N/A,1299850,410808,31641,2,333058,9028,2,N/A,N/A,N/A
1971,District of Columbia,Spirits,5707000,2568150,580669,44227,1,486960,2738,1,N/A,N/A,N/A
1971,District of Columbia,Wine,3288000,526080,580669,9060,1,486960,0803,1,N/A,N/A,N/A
1971,District of Columbia,Beer,17597000,791865,580669,13637,2,486960,6261,3,N/A,N/A,N/A
1971,District of Columbia,All beverages,N/A,3886095,580669,66924,1,486960,9803,1,N/A,N/A,N/A
1971,Florida,Spirits,18414000,8286300,5493340,15084,2,4624502,7918,2,N/A,N/A,N/A
1971,Florida,Wine,11174000,1787840,5493340,3255,4,4624502,3866,4,N/A,N/A,N/A
